\begin{table}
\begin{tabular}{ccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR \\
COS & 5899 & 9.80394 & 1.179 & 10.56 & 0.1 & 11.15 & 0.076 & 0.0031 & 42.2241066595 & 44.7313965617 & 1.38460907546 & 42.9429721576 & 44.428715197 & -1.37024562682 \\
EGS & 17353 & 9.75701 & 1.179 & 5.28 & 0.1 & 10.43 & 0.026 & 0.0031 & 41.5041066595 & 44.0113965617 & 0.664609075465 & 42.6988921576 & 44.123615197 & -1.67534562682 \\
EGS & 31743 & 10.5316 & 1.179 & 5.28 & 0.1 & 11.55 & 0.288 & 0.0031 & 42.6241066595 & 45.1313965617 & 1.78460907546 & 43.0785721576 & 44.598215197 & -1.20074562682 \\
COS & 14691 & 10.3025 & 1.18 & 3.96 & 0.3 & 11.28 & 0.115 & 0.0489 & 43.5520538248 & 44.8409711474 & 1.49418366114 & 43.3931462466 & 44.9914328083 & -0.807528015524 \\
COS & 16383 & 10.3236 & 1.18 & 4.62 & 0.2 & 11.05 & 0.122 & 0.0194 & 42.9205466956 & 44.6242368546 & 1.27744936838 & 43.1790653298 & 44.7238316623 & -1.07512916152 \\
COS & 22302 & 9.96046 & 1.18 & 4.62 & 0.1 & 10.84 & 0.064 & 0.0031 & 41.9141066595 & 44.4213965617 & 1.07460907546 & 42.8378821576 & 44.297352697 & -1.50160812682 \\
COS & 15366 & 10.1772 & 1.18 & 4.62 & 0.1 & 10.77 & 0.058 & 0.0031 & 41.8441066595 & 44.3513965617 & 1.00460907546 & 42.8141521576 & 44.267690197 & -1.53127062682 \\
EGS & 17746 & 10.991 & 1.18 & 5.28 & 0.1 & 11.23 & 0.232 & 0.0031 & 42.3041066595 & 44.8113965617 & 1.46460907546 & 42.9700921576 & 44.462615197 & -1.33634562682 \\
EGS & 3201 & 9.67954 & 1.182 & 5.28 & 0.1 & 10.66 & 0.043 & 0.0031 & 41.7341066595 & 44.2413965617 & 0.894609075465 & 42.7768621576 & 44.221077697 & -1.57788312682 \\
EGS & 24257 & 9.85288 & 1.182 & 4.62 & 0.1 & 10.82 & 0.06 & 0.0031 & 41.8941066595 & 44.4013965617 & 1.05460907546 & 42.8311021576 & 44.288877697 & -1.51008312682 \\
COS & 21774 & 10.3868 & 1.1824 & 5.94 & 0.1 & 10.79 & 0.062 & 0.0031 & 41.8641066595 & 44.3713965617 & 1.02460907546 & 42.8209321576 & 44.276165197 & -1.52279562682 \\
EGS & 17892 & 9.64159 & 1.184 & 4.62 & 0.1 & 10.52 & 0.031 & 0.0031 & 41.5941066595 & 44.1013965617 & 0.754609075465 & 42.7294021576 & 44.161752697 & -1.63720812682 \\
EGS & 26244 & 9.97553 & 1.187 & 5.94 & 0.1 & 10.55 & 0.032 & 0.0031 & 41.6241066595 & 44.1313965617 & 0.784609075465 & 42.7395721576 & 44.174465197 & -1.62449562682 \\
COS & 708 & 8.70072 & 1.188 & 10.56 & 0.4 & 11.05 & 0.086 & 0.0916 & 43.5946404394 & 44.5910220912 & 1.24423460501 & 43.4075831089 & 45.0094788862 & -0.789481937611 \\
COS & 9417 & 9.94734 & 1.188 & 5.94 & 0.6 & 11.46 & 0.301 & 0.2166 & 44.378403418 & 44.9367285329 & 1.58994104668 & 43.6732787587 & 45.3415984484 & -0.45736237542 \\
GDS & 18243 & 10.7 & 1.189 & 4.62 & 0.1 & 11.29 & 0.207 & 0.0031 & 42.3641066595 & 44.8713965617 & 1.52460907546 & 42.9904321576 & 44.488040197 & -1.31092062682 \\
EGS & 26024 & 10.2571 & 1.19 & 3.5 & 0.1 & 10.77 & 0.097 & 0.0031 & 41.8441066595 & 44.3513965617 & 1.00460907546 & 42.8141521576 & 44.267690197 & -1.53127062682 \\
UDS & 579 & 10.3263358609 & 1.19 & 3.5 & 0.5 & 11.64 & 0.51 & 0.1475 & 44.391536986 & 45.1534393534 & 1.80665186713 & 43.6777310383 & 45.3471637978 & -0.451797025969 \\
EGS & 30044 & 9.97186 & 1.19 & 5.28 & 0.1 & 10.4 & 0.025 & 0.0031 & 41.4741066595 & 43.9813965617 & 0.634609075465 & 42.6887221576 & 44.110902697 & -1.68805812682 \\
COS & 12123 & 10.0596 & 1.19 & 4.62 & 0.1 & 11.05 & 0.063 & 0.0031 & 42.1241066595 & 44.6313965617 & 1.28460907546 & 42.9090721576 & 44.386340197 & -1.41262062682 \\
COS & 19830 & 9.96933 & 1.19 & 4.62 & 0.3 & 11.28 & 0.166 & 0.0489 & 43.5520538248 & 44.8409711474 & 1.49418366114 & 43.3931462466 & 44.9914328083 & -0.807528015524 \\
GDS & 21321 & 9.62 & 1.193 & 4.62 & 0.1 & 10.35 & 0.021 & 0.0031 & 41.4241066595 & 43.9313965617 & 0.584609075465 & 42.6717721576 & 44.089715197 & -1.70924562682 \\
EGS & 6840 & 10.94 & 1.196 & 4.62 & 0.3 & 11.84 & 0.49 & 0.0489 & 44.1120538248 & 45.4009711474 & 2.05418366114 & 43.5829862466 & 45.2287328083 & -0.570228015524 \\
UDS & 4267 & 9.81624129999 & 1.196 & 5.2800002 & 0.1 & 10.6 & 0.038 & 0.0031 & 41.6741066595 & 44.1813965617 & 0.834609075465 & 42.7565221576 & 44.195652697 & -1.60330812682 \\
COS & 21206 & 9.484 & 1.197 & 4.62 & 1.0 & 10.73 & 0.075 & 0.625 & 44.108624983 & 43.8867762334 & 0.539988747194 & 43.5818238692 & 45.2272798366 & -0.571680987228 \\
GDS & 17297 & 9.24 & 1.197 & 4.62 & 0.3 & 10.62 & 0.033 & 0.0489 & 42.8920538248 & 44.1809711474 & 0.834183661141 & 43.1694062466 & 44.7117578083 & -1.08720301552 \\
GDS & 12551 & 9.94 & 1.198 & 3.96 & 0.1 & 10.98 & 0.045 & 0.0031 & 42.0541066595 & 44.5613965617 & 1.21460907546 & 42.8853421576 & 44.356677697 & -1.44228312682 \\
UDS & 4465 & 10.5132176001 & 1.198 & 5.2800002 & 0.3 & 11.26 & 0.161 & 0.0489 & 43.5320538248 & 44.8209711474 & 1.47418366114 & 43.3863662466 & 44.9829578083 & -0.816003015524 \\
UDS & 2161 & 9.53402610606 & 1.198 & 5.2800002 & 0.1 & 10.99 & 0.07 & 0.0031 & 42.0641066595 & 44.5713965617 & 1.22460907546 & 42.8887321576 & 44.360915197 & -1.43804562682 \\
UDS & 7169 & 10.688419822 & 1.199 & 4.6199999 & 0.1 & 11.4 & 0.167 & 0.0031 & 42.4741066595 & 44.9813965617 & 1.63460907546 & 43.0277221576 & 44.534652697 & -1.26430812682 \\
COS & 26749 & 10.7877 & 1.2 & 4.62 & 0.3 & 11.45 & 0.212 & 0.0489 & 43.7220538248 & 45.0109711474 & 1.66418366114 & 43.4507762466 & 45.0634703083 & -0.735490515524 \\
COS & 26430 & 10.2736 & 1.2 & 5.94 & 0.3 & 11.78 & 0.236 & 0.0489 & 44.0520538248 & 45.3409711474 & 1.99418366114 & 43.5626462466 & 45.2033078083 & -0.595653015524 \\
EGS & 31710 & 10.602 & 1.2 & 3.96 & 0.06 & 11.11 & 0.102 & 0.000276 & 41.1336540478 & 44.6926250839 & 1.34583759765 & 42.5733087222 & 43.9666359027 & -1.83232492105 \\
COS & 14782 & 10.2233 & 1.2 & 4.62 & 0.1 & 10.94 & 0.076 & 0.0031 & 42.0141066595 & 44.5213965617 & 1.17460907546 & 42.8717821576 & 44.339727697 & -1.45923312682 \\
COS & 27199 & 10.3205 & 1.201 & 5.28 & 0.1 & 10.76 & 0.051 & 0.0031 & 41.8341066595 & 44.3413965617 & 0.994609075465 & 42.8107621576 & 44.263452697 & -1.53550812682 \\
UDS & 25176 & 10.7649229846 & 1.201 & 5.2800002 & 0.1 & 11.89 & 0.115 & 0.0031 & 42.9641066595 & 45.4713965617 & 2.12460907546 & 43.1938321576 & 44.742290197 & -1.05667062682 \\
EGS & 19351 & 10.7587 & 1.202 & 4.62 & 0.1 & 11.59 & 0.185 & 0.0031 & 42.6641066595 & 45.1713965617 & 1.82460907546 & 43.0921321576 & 44.615165197 & -1.18379562682 \\
GDS & 19138 & 10.32 & 1.202 & 4.62 & 0.1 & 11.37 & 0.11 & 0.0031 & 42.4441066595 & 44.9513965617 & 1.60460907546 & 43.0175521576 & 44.521940197 & -1.27702062682 \\
EGS & 26748 & 10.1022 & 1.204 & 5.28 & 0.1 & 10.62 & 0.04 & 0.0031 & 41.6941066595 & 44.2013965617 & 0.854609075465 & 42.7633021576 & 44.204127697 & -1.59483312682 \\
EGS & 9936 & 9.45952 & 1.205 & 4.62 & 0.1 & 11.06 & 0.026 & 0.0031 & 42.1341066595 & 44.6413965617 & 1.29460907546 & 42.9124621576 & 44.390577697 & -1.40838312682 \\
EGS & 18579 & 10.2348 & 1.206 & 4.62 & 0.1 & 11.32 & 0.076 & 0.0031 & 42.3941066595 & 44.9013965617 & 1.55460907546 & 43.0006021576 & 44.500752697 & -1.29820812682 \\
UDS & 12772 & 10.3783979009 & 1.206 & 4.6199999 & 0.3 & 11.46 & 0.164 & 0.0489 & 43.7320538248 & 45.0209711474 & 1.67418366114 & 43.4541662466 & 45.0677078083 & -0.731253015524 \\
UDS & 6248 & 10.7050079593 & 1.207 & 5.2800002 & 0.1 & 11.4 & 0.103 & 0.0031 & 42.4741066595 & 44.9813965617 & 1.63460907546 & 43.0277221576 & 44.534652697 & -1.26430812682 \\
COS & 3750 & 9.55577 & 1.21 & 7.92 & 0.7 & 11.06 & 0.118 & 0.2989 & 44.1182708807 & 44.4885249328 & 1.14173744658 & 43.5850938286 & 45.2313672857 & -0.567593538079 \\
EGS & 30817 & 10.0477 & 1.21 & 4.62 & 0.06 & 11.53 & 0.037 & 0.000276 & 41.5536540478 & 45.1126250839 & 1.76583759765 & 42.7156887222 & 44.1446109027 & -1.65434992105 \\
COS & 14687 & 9.70728 & 1.21 & 5.28 & 0.1 & 10.89 & 0.053 & 0.0031 & 41.9641066595 & 44.4713965617 & 1.12460907546 & 42.8548321576 & 44.318540197 & -1.48042062682 \\
EGS & 9388 & 9.99026 & 1.2114 & 5.94 & 0.06 & 11.32 & 0.029 & 0.000276 & 41.3436540478 & 44.9026250839 & 1.55583759765 & 42.6444987222 & 44.0556234027 & -1.74333742105 \\
GDS & 15098 & 11.12 & 1.212 & 5.94 & 0.2 & 11.49 & 0.146 & 0.0194 & 43.3605466956 & 45.0642368546 & 1.71744936838 & 43.3282253298 & 44.9102816623 & -0.888679161519 \\
GDS & 10000 & 10.19 & 1.212 & 5.28 & 0.3 & 11.49 & 0.088 & 0.0489 & 43.7620538248 & 45.0509711474 & 1.70418366114 & 43.4643362466 & 45.0804203083 & -0.718540515524 \\
EGS & 10349 & 10.1793 & 1.2126 & 4.62 & 0.1 & 11.0 & 0.088 & 0.0031 & 42.0741066595 & 44.5813965617 & 1.23460907546 & 42.8921221576 & 44.365152697 & -1.43380812682 \\
UDS & 20917 & 10.5237464668 & 1.213 & 3.5 & 0.1 & 11.34 & 0.131 & 0.0031 & 42.4141066595 & 44.9213965617 & 1.57460907546 & 43.0073821576 & 44.509227697 & -1.28973312682 \\
EGS & 1771 & 9.71805 & 1.2139 & 4.62 & 0.1 & 10.74 & 0.046 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 \\
EGS & 31310 & 10.9817 & 1.2142 & 5.28 & 0.3 & 11.47 & 0.133 & 0.0489 & 43.7420538248 & 45.0309711474 & 1.68418366114 & 43.4575562466 & 45.0719453083 & -0.727015515524 \\
GDS & 21888 & 10.31 & 1.215 & 3.96 & 0.1 & 11.01 & 0.103 & 0.0031 & 42.0841066595 & 44.5913965617 & 1.24460907546 & 42.8955121576 & 44.369390197 & -1.42957062682 \\
GDS & 18166 & 10.54 & 1.215 & 3.5 & 1.0 & 11.74 & 0.494 & 0.625 & 45.118624983 & 44.8967762334 & 1.54998874719 & 43.9242138692 & 45.6552673366 & -0.143693487228 \\
UDS & 19771 & 10.5198279938 & 1.215 & 3.96 & 0.9 & 12.06 & 2.055 & 0.5031 & 45.344399283 & 45.3390139624 & 1.99222647621 & 44.0007513569 & 45.7509391962 & -0.0480216276106 \\
GDS & 17310 & 10.1 & 1.216 & 3.5 & 1.0 & 11.43 & 0.283 & 0.625 & 44.808624983 & 44.5867762334 & 1.23998874719 & 43.8191238692 & 45.5239048366 & -0.275055987228 \\
EGS & 24586 & 10.2819 & 1.216 & 4.62 & 0.1 & 11.72 & 0.59 & 0.0031 & 42.7941066595 & 45.3013965617 & 1.95460907546 & 43.1362021576 & 44.670252697 & -1.12870812682 \\
EGS & 27361 & 10.0016 & 1.216 & 5.28 & 0.06 & 10.7 & 0.045 & 0.000276 & 40.7236540478 & 44.2826250839 & 0.935837597645 & 42.4343187222 & 43.7928984027 & -2.00606242105 \\
GDS & 20237 & 10.61 & 1.217 & 4.62 & 0.1 & 11.2 & 0.169 & 0.0031 & 42.2741066595 & 44.7813965617 & 1.43460907546 & 42.9599221576 & 44.449902697 & -1.34905812682 \\
GDS & 19153 & 10.41 & 1.217 & 4.62 & 0.1 & 11.21 & 0.117 & 0.0031 & 42.2841066595 & 44.7913965617 & 1.44460907546 & 42.9633121576 & 44.454140197 & -1.34482062682 \\
EGS & 27020 & 10.3195 & 1.217 & 4.62 & 0.1 & 11.04 & 0.141 & 0.0031 & 42.1141066595 & 44.6213965617 & 1.27460907546 & 42.9056821576 & 44.382102697 & -1.41685812682 \\
EGS & 23913 & 10.6599 & 1.218 & 4.62 & 0.1 & 12.04 & 0.282 & 0.0031 & 43.1141066595 & 45.6213965617 & 2.27460907546 & 43.2446821576 & 44.805852697 & -0.993108126815 \\
GDS & 25900 & 9.65 & 1.2199 & 5.28 & 0.1 & 10.74 & 0.049 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 \\
GDS & 15901 & 10.05 & 1.22 & 5.94 & 0.3 & 10.61 & 0.057 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 \\
EGS & 29304 & 10.6387 & 1.22 & 5.28 & 0.3 & 10.99 & 0.107 & 0.0489 & 43.2620538248 & 44.5509711474 & 1.20418366114 & 43.2948362466 & 44.8685453083 & -0.930415515524 \\
COS & 5213 & 9.41939 & 1.22 & 5.94 & 0.4 & 10.93 & 0.073 & 0.0916 & 43.4746404394 & 44.4710220912 & 1.12423460501 & 43.3669031089 & 44.9586288862 & -0.840331937611 \\
GDS & 17316 & 10.27 & 1.22 & 4.62 & 0.1 & 11.07 & 0.104 & 0.0031 & 42.1441066595 & 44.6513965617 & 1.30460907546 & 42.9158521576 & 44.394815197 & -1.40414562682 \\
COS & 27667 & 10.3535 & 1.22 & 5.94 & 0.3 & 10.9 & 0.046 & 0.0489 & 43.1720538248 & 44.4609711474 & 1.11418366114 & 43.2643262466 & 44.8304078083 & -0.968553015524 \\
COS & 15406 & 10.5848 & 1.22 & 5.28 & 0.1 & 10.85 & 0.066 & 0.0031 & 41.9241066595 & 44.4313965617 & 1.08460907546 & 42.8412721576 & 44.301590197 & -1.49737062682 \\
GDS & 16268 & 9.98 & 1.221 & 4.62 & 0.1 & 10.81 & 0.062 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 \\
GDS & 16754 & 10.23 & 1.221 & 4.62 & 0.2 & 10.91 & 0.069 & 0.0194 & 42.7805466956 & 44.4842368546 & 1.13744936838 & 43.1316053298 & 44.6645066623 & -1.13445416152 \\
GDS & 15523 & 10.56 & 1.221 & 5.28 & 0.1 & 11.24 & 0.114 & 0.0031 & 42.3141066595 & 44.8213965617 & 1.47460907546 & 42.9734821576 & 44.466852697 & -1.33210812682 \\
GDS & 16616 & 10.82 & 1.221 & 4.62 & 0.1 & 11.08 & 0.163 & 0.0031 & 42.1541066595 & 44.6613965617 & 1.31460907546 & 42.9192421576 & 44.399052697 & -1.39990812682 \\
GDS & 17386 & 10.49 & 1.223 & 4.62 & 0.1 & 11.54 & 0.097 & 0.0031 & 42.6141066595 & 45.1213965617 & 1.77460907546 & 43.0751821576 & 44.593977697 & -1.20498312682 \\
UDS & 8588 & 10.2695129442 & 1.224 & 5.9400001 & 0.1 & 11.2 & 0.1 & 0.0031 & 42.2741066595 & 44.7813965617 & 1.43460907546 & 42.9599221576 & 44.449902697 & -1.34905812682 \\
GDS & 17213 & 9.17 & 1.224 & 4.62 & 0.1 & 10.4 & 0.019 & 0.0031 & 41.4741066595 & 43.9813965617 & 0.634609075465 & 42.6887221576 & 44.110902697 & -1.68805812682 \\
COS & 25844 & 10.7563 & 1.224 & 5.94 & 0.8 & 11.9 & 1.195 & 0.3944 & 45.078681872 & 45.2649308322 & 1.91814334596 & 43.9106731546 & 45.6383414432 & -0.160619380546 \\
COS & 2103 & 10.8306 & 1.225 & 5.28 & 0.3 & 11.87 & 0.236 & 0.0489 & 44.1420538248 & 45.4309711474 & 2.08418366114 & 43.5931562466 & 45.2414453083 & -0.557515515524 \\
UDS & 26467 & 10.0681858617 & 1.225 & 5.2800002 & 0.5 & 12.18 & 0.148 & 0.1475 & 44.931536986 & 45.6934393534 & 2.34665186713 & 43.8607910383 & 45.5759887978 & -0.222972025969 \\
UDS & 13413 & 10.7160033436 & 1.225 & 4.6199999 & 0.1 & 11.34 & 0.155 & 0.0031 & 42.4141066595 & 44.9213965617 & 1.57460907546 & 43.0073821576 & 44.509227697 & -1.28973312682 \\
UDS & 25430 & 10.8135809886 & 1.225 & 5.2800002 & 0.1 & 12.09 & 0.166 & 0.0031 & 43.1641066595 & 45.6713965617 & 2.32460907546 & 43.2616321576 & 44.827040197 & -0.971920626815 \\
UDS & 5278 & 9.90579588037 & 1.225 & 5.9400001 & 0.1 & 10.96 & 0.07 & 0.0031 & 42.0341066595 & 44.5413965617 & 1.19460907546 & 42.8785621576 & 44.348202697 & -1.45075812682 \\
COS & 15548 & 10.8017 & 1.225 & 4.62 & 0.1 & 11.47 & 0.187 & 0.0031 & 42.5441066595 & 45.0513965617 & 1.70460907546 & 43.0514521576 & 44.564315197 & -1.23464562682 \\
GDS & 19905 & 9.53 & 1.227 & 5.28 & 0.2 & 11.61 & 0.133 & 0.0194 & 43.4805466956 & 45.1842368546 & 1.83744936838 & 43.3689053298 & 44.9611316623 & -0.837829161519 \\
UDS & 19748 & 10.2552725051 & 1.228 & 4.6199999 & 0.3 & 11.32 & 0.116 & 0.0489 & 43.5920538248 & 44.8809711474 & 1.53418366114 & 43.4067062466 & 45.0083828083 & -0.790578015524 \\
EGS & 30790 & 10.6559 & 1.2288 & 5.28 & 0.3 & 11.22 & 0.156 & 0.0489 & 43.4920538248 & 44.7809711474 & 1.43418366114 & 43.3728062466 & 44.9660078083 & -0.832953015524 \\
COS & 9166 & 8.63458 & 1.23 & 10.56 & 0.5 & 11.35 & 0.276 & 0.1475 & 44.101536986 & 44.8634393534 & 1.51665186713 & 43.5794210383 & 45.2242762978 & -0.574684525969 \\
GDS & 19991 & 9.95 & 1.23 & 4.62 & 0.1 & 10.47 & 0.026 & 0.0031 & 41.5441066595 & 44.0513965617 & 0.704609075465 & 42.7124521576 & 44.140565197 & -1.65839562682 \\
EGS & 4879 & 10.0459 & 1.23 & 5.28 & 0.1 & 10.55 & 0.031 & 0.0031 & 41.6241066595 & 44.1313965617 & 0.784609075465 & 42.7395721576 & 44.174465197 & -1.62449562682 \\
EGS & 3042 & 9.84418 & 1.232 & 4.62 & 0.1 & 11.12 & 0.036 & 0.0031 & 42.1941066595 & 44.7013965617 & 1.35460907546 & 42.9328021576 & 44.416002697 & -1.38295812682 \\
UDS & 12907 & 11.0413926852 & 1.234 & 3.96 & 0.1 & 11.51 & 0.26 & 0.0031 & 42.5841066595 & 45.0913965617 & 1.74460907546 & 43.0650121576 & 44.581265197 & -1.21769562682 \\
UDS & 18547 & 10.6354837468 & 1.234 & 3.96 & 0.1 & 11.59 & 0.225 & 0.0031 & 42.6641066595 & 45.1713965617 & 1.82460907546 & 43.0921321576 & 44.615165197 & -1.18379562682 \\
EGS & 16665 & 9.19866 & 1.234 & 4.62 & 0.1 & 10.67 & 0.029 & 0.0031 & 41.7441066595 & 44.2513965617 & 0.904609075465 & 42.7802521576 & 44.225315197 & -1.57364562682 \\
EGS & 26337 & 10.0564 & 1.235 & 4.62 & 0.1 & 11.15 & 0.075 & 0.0031 & 42.2241066595 & 44.7313965617 & 1.38460907546 & 42.9429721576 & 44.428715197 & -1.37024562682 \\
EGS & 10961 & 10.9361 & 1.235 & 4.62 & 0.1 & 11.62 & 0.233 & 0.0031 & 42.6941066595 & 45.2013965617 & 1.85460907546 & 43.1023021576 & 44.627877697 & -1.17108312682 \\
EGS & 31791 & 10.3162 & 1.236 & 5.28 & 0.1 & 11.45 & 0.084 & 0.0031 & 42.5241066595 & 45.0313965617 & 1.68460907546 & 43.0446721576 & 44.555840197 & -1.24312062682 \\
UDS & 999 & 10.5622928645 & 1.237 & 5.2800002 & 0.1 & 11.14 & 0.062 & 0.0031 & 42.2141066595 & 44.7213965617 & 1.37460907546 & 42.9395821576 & 44.424477697 & -1.37448312682 \\
UDS & 26295 & 10.3010299957 & 1.239 & 5.2800002 & 0.1 & 10.91 & 0.061 & 0.0031 & 41.9841066595 & 44.4913965617 & 1.14460907546 & 42.8616121576 & 44.327015197 & -1.47194562682 \\
COS & 27990 & 10.1076 & 1.239 & 5.28 & 0.1 & 10.84 & 0.04 & 0.0031 & 41.9141066595 & 44.4213965617 & 1.07460907546 & 42.8378821576 & 44.297352697 & -1.50160812682 \\
UDS & 26801 & 10.4487063199 & 1.24 & 5.2800002 & 0.1 & 11.59 & 0.111 & 0.0031 & 42.6641066595 & 45.1713965617 & 1.82460907546 & 43.0921321576 & 44.615165197 & -1.18379562682 \\
EGS & 30276 & 10.0146 & 1.24 & 5.28 & 0.1 & 10.5 & 0.027 & 0.0031 & 41.5741066595 & 44.0813965617 & 0.734609075465 & 42.7226221576 & 44.153277697 & -1.64568312682 \\
COS & 20 & 9.69289 & 1.24 & 10.56 & 0.2 & 10.92 & 0.082 & 0.0194 & 42.7905466956 & 44.4942368546 & 1.14744936838 & 43.1349953298 & 44.6687441623 & -1.13021666152 \\
COS & 16196 & 10.1237 & 1.241 & 3.96 & 0.1 & 10.83 & 0.059 & 0.0031 & 41.9041066595 & 44.4113965617 & 1.06460907546 & 42.8344921576 & 44.293115197 & -1.50584562682 \\
COS & 28484 & 9.81181 & 1.241 & 7.92 & 0.3 & 11.15 & 0.131 & 0.0489 & 43.4220538248 & 44.7109711474 & 1.36418366114 & 43.3490762466 & 44.9363453083 & -0.862615515524 \\
UDS & 13079 & 10.8082109729 & 1.241 & 4.6199999 & 0.1 & 11.33 & 0.18 & 0.0031 & 42.4041066595 & 44.9113965617 & 1.56460907546 & 43.0039921576 & 44.504990197 & -1.29397062682 \\
EGS & 20322 & 10.2655 & 1.241 & 4.62 & 0.1 & 11.54 & 0.071 & 0.0031 & 42.6141066595 & 45.1213965617 & 1.77460907546 & 43.0751821576 & 44.593977697 & -1.20498312682 \\
EGS & 29284 & 9.96558 & 1.242 & 4.62 & 0.1 & 11.42 & 0.072 & 0.0031 & 42.4941066595 & 45.0013965617 & 1.65460907546 & 43.0345021576 & 44.543127697 & -1.25583312682 \\
COS & 12436 & 9.04998 & 1.2428 & 5.28 & 0.2 & 10.86 & 0.041 & 0.0194 & 42.7305466956 & 44.4342368546 & 1.08744936838 & 43.1146553298 & 44.6433191623 & -1.15564166152 \\
GDS & 14638 & 10.8 & 1.244 & 4.62 & 0.2 & 11.13 & 0.063 & 0.0194 & 43.0005466956 & 44.7042368546 & 1.35744936838 & 43.2061853298 & 44.7577316623 & -1.04122916152 \\
GDS & 11032 & 10.0 & 1.245 & 4.62 & 0.1 & 10.81 & 0.057 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 \\
GDS & 23246 & 9.92 & 1.2458 & 4.62 & 0.1 & 11.09 & 0.041 & 0.0031 & 42.1641066595 & 44.6713965617 & 1.32460907546 & 42.9226321576 & 44.403290197 & -1.39567062682 \\
UDS & 23274 & 10.2741578493 & 1.246 & 5.2800002 & 0.2 & 11.11 & 0.105 & 0.0194 & 42.9805466956 & 44.6842368546 & 1.33744936838 & 43.1994053298 & 44.7492566623 & -1.04970416152 \\
COS & 10265 & 11.0992 & 1.25 & 5.28 & 0.5 & 11.17 & 0.109 & 0.1475 & 43.921536986 & 44.6834393534 & 1.33665186713 & 43.5184010383 & 45.1480012978 & -0.650959525969 \\
COS & 13435 & 10.7857 & 1.25 & 4.62 & 0.5 & 11.2 & 0.105 & 0.1475 & 43.951536986 & 44.7134393534 & 1.36665186713 & 43.5285710383 & 45.1607137978 & -0.638247025969 \\
COS & 12189 & 9.86079 & 1.25 & 4.62 & 0.2 & 10.84 & 0.052 & 0.0194 & 42.7105466956 & 44.4142368546 & 1.06744936838 & 43.1078753298 & 44.6348441623 & -1.16411666152 \\
COS & 29005 & 10.8456 & 1.25 & 3.5 & 0.2 & 10.77 & 0.076 & 0.0194 & 42.6405466956 & 44.3442368546 & 0.997449368377 & 43.0841453298 & 44.6051816623 & -1.19377916152 \\
COS & 4093 & 11.0997 & 1.2509 & 4.62 & 0.1 & 11.56 & 0.202 & 0.0031 & 42.6341066595 & 45.1413965617 & 1.79460907546 & 43.0819621576 & 44.602452697 & -1.19650812682 \\
UDS & 16714 & 10.7535830589 & 1.252 & 4.6199999 & 0.2 & 11.38 & 0.177 & 0.0194 & 43.2505466956 & 44.9542368546 & 1.60744936838 & 43.2909353298 & 44.8636691623 & -0.935291661519 \\
EGS & 21979 & 9.69965 & 1.252 & 4.62 & 0.1 & 10.69 & 0.038 & 0.0031 & 41.7641066595 & 44.2713965617 & 0.924609075465 & 42.7870321576 & 44.233790197 & -1.56517062682 \\
EGS & 26483 & 9.90281 & 1.254 & 5.28 & 0.1 & 11.17 & 0.049 & 0.0031 & 42.2441066595 & 44.7513965617 & 1.40460907546 & 42.9497521576 & 44.437190197 & -1.36177062682 \\
GDS & 14919 & 9.39 & 1.254 & 5.28 & 0.2 & 10.3 & 0.015 & 0.0194 & 42.1705466956 & 43.8742368546 & 0.527449368377 & 42.9248153298 & 44.4060191623 & -1.39294166152 \\
EGS & 4078 & 10.2049 & 1.255 & 5.28 & 0.2 & 10.93 & 0.064 & 0.0194 & 42.8005466956 & 44.5042368546 & 1.15744936838 & 43.1383853298 & 44.6729816623 & -1.12597916152 \\
COS & 16263 & 10.6559 & 1.255 & 4.62 & 0.4 & 11.38 & 0.226 & 0.0916 & 43.9246404394 & 44.9210220912 & 1.57423460501 & 43.5194531089 & 45.1493163862 & -0.649644437611 \\
COS & 23656 & 9.39901 & 1.2559 & 5.28 & 0.2 & 11.38 & 0.132 & 0.0194 & 43.2505466956 & 44.9542368546 & 1.60744936838 & 43.2909353298 & 44.8636691623 & -0.935291661519 \\
EGS & 22300 & 9.6281 & 1.256 & 5.28 & 0.3 & 10.61 & 0.028 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 \\
EGS & 10269 & 10.2953 & 1.256 & 4.62 & 0.2 & 10.98 & 0.098 & 0.0194 & 42.8505466956 & 44.5542368546 & 1.20744936838 & 43.1553353298 & 44.6941691623 & -1.10479166152 \\
COS & 16701 & 10.7669 & 1.2579 & 4.62 & 0.3 & 11.34 & 0.081 & 0.0489 & 43.6120538248 & 44.9009711474 & 1.55418366114 & 43.4134862466 & 45.0168578083 & -0.782103015524 \\
